CrashID,CrashDeathCount,CrashMonth,Latitude,Longitude,PersonAge,PersonAlcoholResult,PersonBloodAlcoholContentTestResult,PersonType
17380967,0,11,29.59004086,-98.60580092,29,NoData,NoData,1-DRIVER
17380967,0,11,29.59004086,-98.60580092,47,NoData,NoData,1-DRIVER
17387973,0,11,29.58305626,-98.63969031,26,2-NEGATIVE,0.032,1-DRIVER
17387973,0,11,29.58305626,-98.63969031,19,NoData,NoData,1-DRIVER
17396640,0,11,29.58843492,-98.6195631,NoData,NoData,NoData,1-DRIVER
17396640,0,11,29.58843492,-98.6195631,39,NoData,NoData,1-DRIVER
17387978,0,11,29.53622719,-98.68197987,21,1-POSITIVE,0.128,1-DRIVER
17387979,0,11,29.59357065,-98.5773822,19,NoData,NoData,1-DRIVER
17383767,0,11,29.48390607,-98.71000615,38,NoData,NoData,1-DRIVER
17383874,0,11,29.60064949,-98.41996854,64,NoData,NoData,1-DRIVER
17383874,0,11,29.60064949,-98.41996854,64,NoData,NoData,2-PASSENGER/OCCUPANT
17383874,0,11,29.60064949,-98.41996854,22,NoData,NoData,1-DRIVER
17383989,0,11,NoData,NoData,85,NoData,NoData,2-PASSENGER/OCCUPANT
17384947,0,11,29.58796161,-98.62386109,48,NoData,NoData,1-DRIVER
17384947,0,11,29.58796161,-98.62386109,8,NoData,NoData,2-PASSENGER/OCCUPANT
17384947,0,11,29.58796161,-98.62386109,18,NoData,NoData,1-DRIVER
17384947,0,11,29.58796161,-98.62386109,17,NoData,NoData,2-PASSENGER/OCCUPANT
17384947,0,11,29.58796161,-98.62386109,70,NoData,NoData,1-DRIVER
17384947,0,11,29.58796161,-98.62386109,6,NoData,NoData,2-PASSENGER/OCCUPANT
17384947,0,11,29.58796161,-98.62386109,11,NoData,NoData,2-PASSENGER/OCCUPANT
17384947,0,11,29.58796161,-98.62386109,11,NoData,NoData,2-PASSENGER/OCCUPANT
17385054,0,11,29.49328379,-98.70517,NoData,NoData,NoData,1-DRIVER
17385054,0,11,29.49328379,-98.70517,21,NoData,NoData,1-DRIVER
17385635,0,11,29.58943735,-98.35025527,16,NoData,NoData,1-DRIVER
17385635,0,11,29.58943735,-98.35025527,19,NoData,NoData,1-DRIVER
17385635,0,11,29.58943735,-98.35025527,17,NoData,NoData,2-PASSENGER/OCCUPANT
17385635,0,11,29.58943735,-98.35025527,48,NoData,NoData,1-DRIVER
17385635,0,11,29.58943735,-98.35025527,16,NoData,NoData,2-PASSENGER/OCCUPANT
17385635,0,11,29.58943735,-98.35025527,7,NoData,NoData,2-PASSENGER/OCCUPANT
17390499,0,11,29.603483,-98.44690981,41,NoData,NoData,1-DRIVER
17394546,0,11,29.47445392,-98.71076313,40,NoData,NoData,1-DRIVER
17396656,0,11,29.5460727,-98.67439268,34,NoData,NoData,1-DRIVER
17385792,0,11,29.59181195,-98.35187114,29,NoData,NoData,1-DRIVER
17385792,0,11,29.59181195,-98.35187114,24,NoData,NoData,1-DRIVER
17386107,0,11,29.60250698,-98.44293483,51,NoData,NoData,1-DRIVER
17386107,0,11,29.60250698,-98.44293483,41,NoData,NoData,1-DRIVER
17386569,0,11,29.55249819,-98.66834291,41,NoData,NoData,1-DRIVER
17386569,0,11,29.55249819,-98.66834291,26,NoData,NoData,1-DRIVER
17386569,0,11,29.55249819,-98.66834291,53,NoData,NoData,1-DRIVER
17387182,0,11,29.53487124,-98.68258822,62,1-POSITIVE,0.221,1-DRIVER
17387986,0,11,29.58796178,-98.62385959,24,NoData,NoData,1-DRIVER
17387986,0,11,29.58796178,-98.62385959,30,NoData,NoData,1-DRIVER
17393141,0,11,29.38006034,-98.70068819,54,NoData,NoData,1-DRIVER
17393141,0,11,29.38006034,-98.70068819,33,NoData,NoData,1-DRIVER
17394314,0,11,29.60633899,-98.45821381,28,NoData,NoData,1-DRIVER
17394314,0,11,29.60633899,-98.45821381,69,NoData,NoData,2-PASSENGER/OCCUPANT
17394314,0,11,29.60633899,-98.45821381,NoData,NoData,NoData,1-DRIVER
17394314,0,11,29.60633899,-98.45821381,24,NoData,NoData,1-DRIVER
17425550,0,11,29.59358641,-98.57733386,32,NoData,NoData,1-DRIVER
17425550,0,11,29.59358641,-98.57733386,1,NoData,NoData,2-PASSENGER/OCCUPANT
17425550,0,11,29.59358641,-98.57733386,7,NoData,NoData,2-PASSENGER/OCCUPANT
17425550,0,11,29.59358641,-98.57733386,3,NoData,NoData,2-PASSENGER/OCCUPANT
17425550,0,11,29.59358641,-98.57733386,5,NoData,NoData,2-PASSENGER/OCCUPANT
17425550,0,11,29.59358641,-98.57733386,47,NoData,NoData,1-DRIVER
17388079,0,11,29.58712033,-98.63150028,22,NoData,NoData,1-DRIVER
17388079,0,11,29.58712033,-98.63150028,36,NoData,NoData,1-DRIVER
17388094,0,11,29.56449972,-98.65564514,51,NoData,NoData,1-DRIVER
17390716,0,11,29.60892987,-98.46748431,36,NoData,NoData,1-DRIVER
17390716,0,11,29.60892987,-98.46748431,28,NoData,NoData,4-PEDESTRIAN
17394983,0,11,29.56207222,-98.65793803,NoData,NoData,NoData,1-DRIVER
17394983,0,11,29.56207222,-98.65793803,18,NoData,NoData,1-DRIVER
17394987,0,11,29.56172273,-98.65829084,50,NoData,NoData,1-DRIVER
17394987,0,11,29.56172273,-98.65829084,42,NoData,NoData,2-PASSENGER/OCCUPANT
17398651,0,11,29.56688629,-98.65358514,59,NoData,NoData,1-DRIVER
17398651,0,11,29.56688629,-98.65358514,48,NoData,NoData,1-DRIVER
17398651,0,11,29.56688629,-98.65358514,18,NoData,NoData,2-PASSENGER/OCCUPANT
17398651,0,11,29.56688629,-98.65358514,18,NoData,NoData,2-PASSENGER/OCCUPANT
17490035,0,11,29.60633899,-98.45821381,50,NoData,NoData,1-DRIVER
17490035,0,11,29.60633899,-98.45821381,48,NoData,NoData,1-DRIVER
17390328,0,11,29.53958012,-98.6802679,27,NoData,NoData,1-DRIVER
17390762,0,11,29.42835494,-98.71101426,39,NoData,NoData,1-DRIVER
17390778,0,11,29.45900569,-98.71120133,42,NoData,NoData,5-DRIVEROFMOTORCYCLETYPEVEHICLE
17390778,0,11,29.45900569,-98.71120133,65,NoData,NoData,1-DRIVER
17392291,0,11,29.60025242,-98.56232143,NoData,NoData,NoData,1-DRIVER
17392291,0,11,29.60025242,-98.56232143,54,NoData,NoData,1-DRIVER
17392324,0,11,29.53622719,-98.68197987,NoData,NoData,NoData,1-DRIVER
17392324,0,11,29.53622719,-98.68197987,66,NoData,NoData,1-DRIVER
17392324,0,11,29.53622719,-98.68197987,72,NoData,NoData,2-PASSENGER/OCCUPANT
17392938,0,11,29.57094491,-98.65076755,18,NoData,NoData,1-DRIVER
17392938,0,11,29.57094491,-98.65076755,44,NoData,NoData,1-DRIVER
17394368,0,11,29.60909864,-98.4682473,19,NoData,NoData,1-DRIVER
17394368,0,11,29.60909864,-98.4682473,26,NoData,NoData,1-DRIVER
17394368,0,11,29.60909864,-98.4682473,28,NoData,NoData,2-PASSENGER/OCCUPANT
17396289,0,11,29.60237802,-98.5367889,NoData,NoData,NoData,1-DRIVER
17396289,0,11,29.60237802,-98.5367889,61,NoData,NoData,1-DRIVER
17393280,0,11,29.60091321,-98.55995218,36,NoData,NoData,1-DRIVER
17393280,0,11,29.60091321,-98.55995218,49,NoData,NoData,1-DRIVER
17393280,0,11,29.60091321,-98.55995218,46,NoData,NoData,1-DRIVER
17393280,0,11,29.60091321,-98.55995218,7,NoData,NoData,2-PASSENGER/OCCUPANT
17393424,0,11,29.49326519,-98.7051799,35,NoData,NoData,1-DRIVER
17393424,0,11,29.49326519,-98.7051799,38,NoData,NoData,2-PASSENGER/OCCUPANT
17393424,0,11,29.49326519,-98.7051799,14,NoData,NoData,2-PASSENGER/OCCUPANT
17393424,0,11,29.49326519,-98.7051799,29,NoData,NoData,1-DRIVER
17393437,0,11,29.44793472,-98.71102261,NoData,NoData,NoData,1-DRIVER
17393437,0,11,29.44793472,-98.71102261,26,NoData,NoData,1-DRIVER
17393437,0,11,29.44793472,-98.71102261,20,NoData,NoData,2-PASSENGER/OCCUPANT
17393437,0,11,29.44793472,-98.71102261,1,NoData,NoData,2-PASSENGER/OCCUPANT
17396658,0,11,29.59189687,-98.58950148,55,NoData,NoData,1-DRIVER
17396658,0,11,29.59189687,-98.58950148,NoData,NoData,NoData,1-DRIVER
17393692,0,11,29.44014356,-98.71099212,25,NoData,NoData,1-DRIVER
17393810,0,11,29.59169311,-98.5911399,16,NoData,NoData,1-DRIVER
